valid_from,valid_to,ally_name,min_requested_amount,max_requested_amount,origination_mdf,cancellation_mdf,fraud_mdf,last_config,Same for clients?,Check,,MDF change,New Origination MDF,New Cancellation MDF,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
,,opticaliavanarckenymendoza-online,$0,"$20,000,001.00",2.50%,1.25%,1.25%,10/12/2022,Yes,0,,No,2.50%,1.25%,,,,,,,,,,,,,,,
,,opticalopezaristizabal-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/12/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,seventeenst-online,$0,"$20,000,001.00",4.50%,2.25%,2.25%,10/12/2022,Yes,0,,No,4.50%,2.25%,,,,,,,,,,,,,,,
,,tinmarinddopingue-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/12/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,trafficshoestenis-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/12/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,trulykids-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/12/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,didacticosbob-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/12/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,didacticosbob-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/12/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,asadoreselllanero-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/12/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,mueblinova-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/12/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,zonavirtualgame-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/12/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,vitronal-online,$0,"$20,000,001.00",0.00%,2.50%,2.50%,10/12/2022,Yes,0,,No,0.00%,2.50%,,,,,,,,,,,,,,,
,,relojesloix-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/12/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,nybluestore-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/12/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,innovaoptica-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/12/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,bombshelloficial-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/12/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,bombshelloficial-ecommerce,$0,"$20,000,001.00",0.00%,3.25%,3.25%,10/12/2022,Yes,0,,No,0.00%,3.25%,,,,,,,,,,,,,,,
,,CascosPB-Ecommerce,$0,"$20,000,001.00",4.00%,2.00%,2.00%,10/12/2022,Yes,0,,No,4.00%,2.00%,,,,,,,,,,,,,,,
,,glampingvillaluces-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/12/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,imfitworld-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/12/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,imfitworld-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/12/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,opticaliadrapatriciagarcia-online,$0,"$20,000,001.00",2.50%,1.25%,1.25%,10/12/2022,Yes,0,,No,2.50%,1.25%,,,,,,,,,,,,,,,
,,rifle-ecommerce,$0,"$20,000,001.00",1.50%,0.75%,0.75%,10/12/2022,Yes,0,,No,1.50%,0.75%,,,,,,,,,,,,,,,
,,aguitaepina-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,aonijiecolombia-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,asadoreselllanero-ecommerce,$0,"$20,000,001.00",0.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,0.00%,2.50%,,,,,,,,,,,,,,,
,,atogobmoda-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,atogobmoda-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,beautimodafemenina-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,boutiquedegafa-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,dreamshop-online,$0,"$20,000,001.00",0.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,0.00%,2.50%,,,,,,,,,,,,,,,
,,eklatoptikos-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,estilogaby-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,exilio-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,fitnessandsupplements-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,foxcolombia-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,isanellashop-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,itup-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,itup-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,juanpadecoracion-online,$0,"$20,000,001.00",6.50%,3.25%,0.00%,07/15/2023,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,labonitaclothing-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,labonitaclothing-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,labonitastore-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,leilaboutique-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,leilaboutique-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,livenzalingerie-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,lucysdreams-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,maluwoman-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,mattebags-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,productoswow-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,productoswow-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,puraclothes-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,rumeclothing-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,sexyfragatta-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,spear46-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,toystyle-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,toystyle-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,tuclosetkids-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,tuclosetkids-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,zeiatiendademoda-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,sessentialbeautyshop-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,perfumesroma-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,perfumesroma-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,roxieswimwear-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,lapeau-online,$0,"$20,000,001.00",4.30%,2.15%,2.15%,10/18/2022,Yes,0,,No,4.30%,2.15%,,,,,,,,,,,,,,,
,,lapeau-ecommerce,$0,"$20,000,001.00",4.30%,2.15%,2.15%,10/18/2022,Yes,0,,No,4.30%,2.15%,,,,,,,,,,,,,,,
,,acuarela-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,vmasoptica-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,livenzalingerie-online,$0,"$20,000,001.00",0.00%,3.25%,3.25%,10/18/2022,Yes,0,,No,0.00%,3.25%,,,,,,,,,,,,,,,
,,shoesesportiu-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,recamier-ecommerce,$0,"$20,000,001.00",4.50%,2.25%,2.25%,10/18/2022,Yes,0,,No,4.50%,2.25%,,,,,,,,,,,,,,,
,,martienda-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,martienda-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,kesh-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,kesh-ecommerce,$0,"$20,000,001.00",0.00%,3.25%,3.25%,10/18/2022,Yes,0,,No,0.00%,3.25%,,,,,,,,,,,,,,,
,,bliss-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,calzadocosmos-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,duhersh-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,duhersh-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,coristore-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,coristore-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,opticaliadraluzpelaez-online,$0,"$20,000,001.00",2.50%,1.25%,1.25%,10/18/2022,Yes,0,,No,2.50%,1.25%,,,,,,,,,,,,,,,
,,accesorioscolombia-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,herejewear-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,herejewear-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,mysugarkids-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,parqueagroecoturisticolospinos-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,relief-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,relief-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,stattus-ecommerce,$0,"$20,000,001.00",0.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,0.00%,2.50%,,,,,,,,,,,,,,,
,,khala-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,prestigeluxuryhouse-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/18/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,cabellosmagicos-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,ondafitness2-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/18/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,depilarte-apartado-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,pilatos-santarosa-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,10/19/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,tiendacomicsbuenaventura-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,liwushop-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,francobikers-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,trocharutaycross-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,rodadasytravesias-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/19/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,urbanvision-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,mcking-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/19/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,gueritos-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,barucshop-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,soulintimates-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/19/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,opticaliaestrada-online,$0,"$20,000,001.00",2.50%,1.25%,1.25%,10/19/2022,Yes,0,,No,2.50%,1.25%,,,,,,,,,,,,,,,
,,ondafitnesssas-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/19/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,neversad-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,neversad-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,loveculture-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,loveculture-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,akelare-online,$0,"$20,000,001.00",0.00%,2.50%,2.50%,10/19/2022,Yes,0,,No,0.00%,2.50%,,,,,,,,,,,,,,,
,,akelare-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/19/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,lecoqsportif-whatsapp-online,$0,"$20,000,001.00",3.00%,1.50%,1.50%,10/19/2022,Yes,0,,No,3.00%,1.50%,,,,,,,,,,,,,,,
,,wompos-online,$0,"$20,000,001.00",1.90%,0.95%,0.95%,10/19/2022,Yes,0,,No,1.90%,0.95%,,,,,,,,,,,,,,,
,,bicicleteriariverbike-online,$0,"$20,000,001.00",6.00%,3.00%,3.00%,10/19/2022,Yes,0,,No,6.00%,3.00%,,,,,,,,,,,,,,,
,,elcastillodelmueble-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,izeltienda-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,latiendadelescarabajo-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,magichairmedellin-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/19/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,opticaliaoptivisual-online,$0,"$20,000,001.00",2.50%,1.25%,1.25%,10/19/2022,Yes,0,,No,2.50%,1.25%,,,,,,,,,,,,,,,
,,prettyfaceyz-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,lofly-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,lofly-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,casiostoreexitosanmateo-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,casiostorejardinplaza-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,holamonday-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,byjuanitarubio-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/19/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,dolcevitaboutique-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/19/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,elgigantedelhogar-online,$0,"$20,000,001.00",3.50%,1.75%,1.75%,10/19/2022,Yes,0,,No,3.50%,1.75%,,,,,,,,,,,,,,,
,,petitbowtique-online,$0,"$20,000,001.00",3.00%,1.50%,1.50%,10/19/2022,Yes,0,,No,3.00%,1.50%,,,,,,,,,,,,,,,
,,marquisantioquia-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/19/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,woolshopandcapclub-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,woolshopandcapclub-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,perfumbyaleja-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,perfumbyaleja-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,wwwomensephora-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,opticaliatuvisionmonteria-online,$0,"$20,000,001.00",2.50%,1.25%,1.25%,10/21/2022,Yes,0,,No,2.50%,1.25%,,,,,,,,,,,,,,,
,,opticaliadragiraldo-online,$0,"$20,000,001.00",2.50%,1.25%,1.25%,10/21/2022,Yes,0,,No,2.50%,1.25%,,,,,,,,,,,,,,,
,,cosmeticosghelic-online,$0,"$20,000,001.00",0.00%,2.50%,2.50%,10/21/2022,Yes,0,,No,0.00%,2.50%,,,,,,,,,,,,,,,
,,cosmeticosghelic-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/21/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,duosonicco-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,bikeprimates-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/21/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,abiutienda-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,mouette-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,mouette-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,afnistia-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,afnistia-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,imperiodeltiempo-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,adictosalfutsal-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/21/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,anvara-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,valhallastore-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,nsshoes-online,$0,"$20,000,001.00",0.00%,3.25%,3.25%,10/21/2022,Yes,0,,No,0.00%,3.25%,,,,,,,,,,,,,,,
,,nsshoes-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,firenzedeco-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/21/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,vivisernatienda-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,oclockshoes-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,luxurybeauty-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,luxurybeauty-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,cositasdeliciosas-online,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/21/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,cositasdeliciosas-ecommerce,$0,"$20,000,001.00",5.00%,2.50%,2.50%,10/21/2022,Yes,0,,No,5.00%,2.50%,,,,,,,,,,,,,,,
,,basicacolors-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,boutiquedulcebendicion-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,dbboutique-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,dolcedamor-ecommerce,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,dolcedamor-online,$0,"$20,000,001.00",6.50%,3.25%,3.25%,10/21/2022,Yes,0,,No,6.50%,3.25%,,,,,,,,,,,,,,,
,,gicelaospinaperfumeria-online,$0,"$20,000,001.00",0.00%,3.25%,3.25%,10/21/2022,Yes,0,,No,0.00%,3.25%,,,,,,,,,,,,,,,
,,mge-online,$0,"$20,000,001.00",0.00%,3.25%,3.25%,10/21/2022,Yes,0,,No,0.00%,3.25%,,,,,,,,,,,,,,,
,,opticaliadrraygonzalez-online,$0,"$20,000,001.00",2.50%,1.25%,1.25%,10/21/2022,Yes,0,,No,2.50%,1.25%,,,,,,,,,,,,,,,
